first name,last name,Google Scholar URL,sanitized_username
Robert,Jenssen,https://scholar.google.com/citations?hl=en&user=HiviXjIAAAAJ,robert_jenssen
Roberta,Sinatra,https://scholar.google.com/citations?user=PL8nGh4AAAAJ&hl=en,roberta_sinatra
Roberto,Galeazzi,https://scholar.google.com/citations?user=aqvfXLcAAAAJ&hl=en,roberto_galeazzi
Roman,Jurowetzki,https://scholar.google.com/citations?user=9Zwa75gAAAAJ&hl=en&oi=sra,roman_jurowetzki
Rune,Berg,https://scholar.google.com/citations?hl=en&user=x1QHxIUAAAAJ,rune_berg
Sagie,Benaim,https://scholar.google.com/citations?user=-zSM2I8AAAAJ&hl=en,sagie_benaim
Salif Axel,Komi,https://scholar.google.com/citations?user=4VxBgJMAAAAJ&hl=fr&oi=ao,salif-axel_komi
Samir,Bhatt,https://scholar.google.com/citations?user=tL0x_vUAAAAJ&hl=en,samir_bhatt
Samuel,Demharter,https://scholar.google.com/citations?user=RAFNEeAAAAAJ&hl=en,samuel_demharter
Sandro,Sousa,https://scholar.google.com/citations?user=38s9SVgAAAAJ&hl=en,sandro_sousa
Sanja,Lazarova-Molnar,https://scholar.google.com/citations?user=kcPJDIAAAAAJ&hl=da&oi=ao,sanja_lazarova-molnar
Sara,Marjanovic,https://scholar.google.com/citations?user=f026qd8AAAAJ&hl=en,sara_marjanovic
Sarthak,Yadav,https://scholar.google.com/citations?user=cVsg9VsAAAAJ,sarthak_yadav
Satya M,Muddamsetty,https://scholar.google.com/citations?user=5CLeSukAAAAJ,satya-m_muddamsetty
Sebastian,Weichwald,https://scholar.google.com/citations?user=lApaQd4AAAAJ,sebastian_weichwald
Sebastian,Schwemer,https://scholar.google.com/citations?user=lPJ_34IAAAAJ,sebastian_schwemer
Sergio,Escalera,https://scholar.google.com/citations?user=oI6AIkMAAAAJ,sergio_escalera
Sergios,Theodoridis,https://scholar.google.com/citations?user=3dBjdv4AAAAJ&hl=en,sergios_theodoridis
Shashi Raj,Pandey,https://scholar.google.com/citations?user=yFmz36AAAAAJ,shashi-raj_pandey
Shuai,Zhao,https://scholar.google.com/citations?user=-QHLgIAAAAAJ&hl=en,shuai_zhao
Shuai,Zhang,https://scholar.google.com/citations?user=1NEiHdQAAAAJ&hl=en,shuai_zhang
siavash,arjomand Bigdeli,https://scholar.google.com/citations?hl=de&user=NhEK9voAAAAJ,siavash_arjomand-bigdeli
Siavash,A. Bigdeli,https://scholar.google.com/citations?user=NhEK9voAAAAJ,siavash_a.-bigdeli
Silvia,Tolu,https://scholar.google.it/citations?user=ITsafnMAAAAJ&hl=it,silvia_tolu
Simon,Bøgh,https://scholar.google.com/citations?user=l3u9RVgAAAAJ,simon_bogh
Sine,Zambach,https://scholar.google.com/citations?hl=da&user=sI4U54wAAAAJ,sine_zambach
Sine Nørholm,Just,https://scholar.google.com/citations?user=6qSnRigAAAAJ&hl=da&oi=ao,sine-norholm_just
Sneha,Das,https://scholar.google.com/citations?user=eL0_3FUAAAAJ,sneha_das
Sokol,Kosta,https://scholar.google.it/citations?user=NOi_xTgAAAAJ&hl=en,sokol_kosta
Søren,Knudsen,https://scholar.google.com/citations?user=wpsOZm0AAAAJ,soren_knudsen
Søren,Hauberg,https://scholar.google.com/citations?user=M1fMGOMAAAAJ,soren_hauberg
Søren,Kyllingsbæk,https://scholar.google.dk/citations?user=TIMCthYAAAAJ&hl=en&oi=ao,soren_kyllingsbaek
Srishti,Yadav,https://scholar.google.ca/citations?hl=en&user=LW9fQacAAAAJ,srishti_yadav
Stefan,Heinrich,https://scholar.google.de/citations?user=hHx7vgoAAAAJ,stefan_heinrich
Stefan,Sommer,https://scholar.google.com/citations?user=GGh0haAAAAAJ,stefan_sommer
Stella,Graßhof,https://scholar.google.com/citations?hl=en&user=kSuLm58AAAAJ,stella_grasshof
Stella,Frank,https://scholar.google.com/citations?user=AuOze3UAAAAJ&hl=nl&oi=ao,stella_frank
Stina,Matthiesen,https://scholar.google.com/citations?user=8WFwlh4AAAAJ,stina_matthiesen
Stine,Gotved,https://scholar.google.com/citations?user=1KFd4wIAAAAJ,stine_gotved
Subham,Sahoo,https://scholar.google.dk/citations?user=gi0pwoQAAAAJ,subham_sahoo
Sune,Darkner,https://scholar.google.dk/citations?user=E-Mu-IIAAAAJ,sune_darkner
Tariq Osman,Andersen,https://scholar.google.co.uk/citations?user=FMtPAZ0AAAAJ,tariq-osman_andersen
Tejs,Vegge,https://scholar.google.com/citations?user=rfnfcp0AAAAJ,tejs_vegge
